GISJOIN,YEAR,STUSAB,ZCTA5A,ZCTA_NAME,Total,Under0.5,0.5_0.99,1.00_1.24,1.25_1.49,1.50_1.84,1.85_1.99,Over2.0,Poverty_Dummy,Pct_Agg
G01104,2015-2019,US,1104,ZCTA5 01104,23582,2371,3225,1928,1936,1480,1577,11065,0,23.72996353
G01105,2015-2019,US,1105,ZCTA5 01105,11500,2171,3673,1089,509,1193,211,2654,1,50.8173913
G01106,2015-2019,US,1106,ZCTA5 01106,15331,103,234,126,183,180,81,14424,0,2.19816059
G01107,2015-2019,US,1107,ZCTA5 01107,11463,1881,3104,957,712,819,539,3451,0,43.48774317
G01108,2015-2019,US,1108,ZCTA5 01108,26801,2559,4642,2211,1785,1608,720,13276,0,26.86840043
G01109,2015-2019,US,1109,ZCTA5 01109,27181,3163,4396,2516,1977,1779,988,12362,0,27.80986719
G01118,2015-2019,US,1118,ZCTA5 01118,14708,1685,820,305,553,767,192,10386,0,17.03154746
G01119,2015-2019,US,1119,ZCTA5 01119,12638,746,1620,1028,605,1003,280,7356,0,18.72131666
G01128,2015-2019,US,1128,ZCTA5 01128,2541,123,44,50,156,129,88,1951,0,6.572215663
G01129,2015-2019,US,1129,ZCTA5 01129,6869,472,557,165,328,281,158,4908,0,14.98034648
G01151,2015-2019,US,1151,ZCTA5 01151,9032,775,1083,729,978,703,207,4557,0,20.57130204
G01199,2015-2019,US,1199,ZCTA5 01199,0,0,0,0,0,0,0,0,0,#DIV/0!
G01201,2015-2019,US,1201,ZCTA5 01201,43651,2622,3084,2058,1990,2481,1492,29924,0,13.07186548
G01220,2015-2019,US,1220,ZCTA5 01220,8171,426,487,195,155,390,345,6173,0,11.17366295
G01222,2015-2019,US,1222,ZCTA5 01222,807,27,60,27,0,77,0,616,0,10.78066914
G01223,2015-2019,US,1223,ZCTA5 01223,2443,37,119,103,39,72,34,2039,0,6.385591486
G01224,2015-2019,US,1224,ZCTA5 01224,125,29,0,0,0,0,0,96,0,23.2
G01225,2015-2019,US,1225,ZCTA5 01225,3105,135,89,55,100,52,32,2642,0,7.214170692
G01226,2015-2019,US,1226,ZCTA5 01226,6658,166,154,271,149,328,88,5502,0,4.806248123
G01229,2015-2019,US,1229,ZCTA5 01229,91,0,0,18,0,0,0,73,0,0
G01230,2015-2019,US,1230,ZCTA5 01230,7572,313,256,167,505,422,182,5727,0,7.514527205
G01235,2015-2019,US,1235,ZCTA5 01235,2564,40,246,12,29,134,49,2054,0,11.15444618
G01236,2015-2019,US,1236,ZCTA5 01236,1196,53,0,66,85,0,14,978,0,4.431438127
G01237,2015-2019,US,1237,ZCTA5 01237,2488,155,47,103,5,93,13,2072,0,8.118971061
G01238,2015-2019,US,1238,ZCTA5 01238,5592,187,117,206,132,361,106,4483,0,5.436337625
G01240,2015-2019,US,1240,ZCTA5 01240,4113,124,96,103,120,113,0,3557,0,5.348893752
G01242,2015-2019,US,1242,ZCTA5 01242,471,2,2,1,0,78,50,338,0,0.8492569
G01243,2015-2019,US,1243,ZCTA5 01243,268,3,8,18,8,9,0,222,0,4.104477612
G01244,2015-2019,US,1244,ZCTA5 01244,132,0,0,0,0,0,30,102,0,0
G01245,2015-2019,US,1245,ZCTA5 01245,836,39,4,46,9,0,0,738,0,5.14354067
G01247,2015-2019,US,1247,ZCTA5 01247,14384,1152,1388,874,665,743,391,9171,0,17.65850945
G01253,2015-2019,US,1253,ZCTA5 01253,763,17,15,32,3,18,3,675,0,4.193971166
G01254,2015-2019,US,1254,ZCTA5 01254,902,38,16,9,10,28,15,786,0,5.986696231
G01255,2015-2019,US,1255,ZCTA5 01255,831,11,24,9,68,32,21,666,0,4.21179302
G01256,2015-2019,US,1256,ZCTA5 01256,660,30,17,20,68,49,13,463,0,7.121212121
G01257,2015-2019,US,1257,ZCTA5 01257,2017,108,59,88,20,102,41,1599,0,8.279623203
G01258,2015-2019,US,1258,ZCTA5 01258,488,4,35,36,0,22,16,375,0,7.991803279
G01259,2015-2019,US,1259,ZCTA5 01259,540,25,23,7,10,4,9,462,0,8.888888889
G01260,2015-2019,US,1260,ZCTA5 01260,427,11,21,0,0,0,0,395,0,7.494145199
G01262,2015-2019,US,1262,ZCTA5 01262,933,107,93,72,92,96,14,459,0,21.43622722
G01264,2015-2019,US,1264,ZCTA5 01264,206,24,18,4,2,8,11,139,0,20.38834951
G01266,2015-2019,US,1266,ZCTA5 01266,1295,13,57,20,36,60,57,1052,0,5.405405405
G01267,2015-2019,US,1267,ZCTA5 01267,5132,288,273,81,145,185,38,4122,0,10.93141076
G01270,2015-2019,US,1270,ZCTA5 01270,796,36,14,2,27,50,0,667,0,6.281407035
G01301,2015-2019,US,1301,ZCTA5 01301,17005,476,1444,609,1244,1385,325,11522,0,11.29079682
G01330,2015-2019,US,1330,ZCTA5 01330,1268,59,68,26,22,18,50,1025,0,10.01577287
G01331,2015-2019,US,1331,ZCTA5 01331,13319,602,1133,554,364,1051,280,9335,0,13.02650349
G01337,2015-2019,US,1337,ZCTA5 01337,2509,108,90,38,73,291,58,1851,0,7.891590275
G01338,2015-2019,US,1338,ZCTA5 01338,113,17,0,0,0,0,0,96,0,15.04424779
G01339,2015-2019,US,1339,ZCTA5 01339,1371,53,88,30,68,64,74,994,0,10.28446389
G01340,2015-2019,US,1340,ZCTA5 01340,1779,91,113,61,8,66,34,1406,0,11.46711636
G01341,2015-2019,US,1341,ZCTA5 01341,1909,19,17,26,11,63,19,1754,0,1.885804086
G01342,2015-2019,US,1342,ZCTA5 01342,1121,195,58,10,67,0,0,791,0,22.5691347
G01343,2015-2019,US,1343,ZCTA5 01343,60,0,4,0,0,2,0,54,0,6.666666667
G01344,2015-2019,US,1344,ZCTA5 01344,1353,73,86,30,73,176,16,899,0,11.75166297
G01346,2015-2019,US,1346,ZCTA5 01346,468,2,13,13,25,28,8,379,0,3.205128205
G01347,2015-2019,US,1347,ZCTA5 01347,154,0,30,0,0,0,0,124,0,19.48051948
